,Acceptance,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,url,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Quality marks,Capacity,Accessibility,Plot size,Construction period,,1 bathroom and 2 separate toilets,1 car,172 m²,2 weeks,2002,24 m²,3 stories,6 rooms (5 bedrooms),649 m²,903 m³,Available,Available in consultation,B What does this mean?,Bath and shower,Completely insulated,Detached brick garage,Detached wooden storage,District heating,Electricity,In residential district,Parking on private property and public parking,Resale property,Skylight and mechanical ventilation,Surrounded by garden,"Villa, detached residential property",Original asking price,174 m²,1924,2 bathrooms and 1 separate toilet,2 stories,21 m²,4 m²,650 m³,7 rooms (3 bedrooms),797 m²,"Alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",Balcony present,"Bath, shower and toilet",Bouwkundige keuring,CH boiler and fireplace,G What does this mean?,Gable roof covered with cane,"March 9, 2022","Nefit (gas-fired combination boiler from 2009, in ownership)",Partly double glazed,Protected townscape or village view (permit needed for alterations),Public parking,Sun terrace,"116 m² (7,06 meter deep and 16,37 meter broad)",153 m²,16 m²,2009,350 m²,609 m³,A What does this mean?,Alongside a quiet road and in residential district,Attached brick garage and carport,"Back garden, front garden and side garden","Bath, 2 showers and 2 toilets","Combin air (gas-fired combination boiler from 2009, in ownership)","Desirable residence/villa, double house",Energie Prestatie Advies,Gable roof covered with roof tiles,Located at the northeast accessible via the rear,"March 2, 2022","Skylight, mechanical ventilation, passive ventilation system and TV via cable","1,441 m³",2 cars,2 stories and a basement,"2,055 m²",2008,339 m²,Attached brick garage and parking place,"Bath, shower and 2 toilets","CH boiler, fireplace and complete floor heating","Combi (gas-fired combination boiler from 2008, in ownership)",Combination roof,Disabled access friendly and accessible for seniors,"Electrical door, loft, electricity, heating and running water",Freestanding location and unobstructed surrounding view,"March 10, 2022",Parking on private property,Partly furnished with carpets and curtains,"Roof insulation, double glazing, insulated walls and floor insulation","Skylight, mechanical ventilation, flue and TV via cable",Service charges,1 bathroom and 1 separate toilet,"102 m² (10,7 meter deep and 9,5 meter broad)",132 m²,1995,266 m²,424 m³,5 rooms (4 bedrooms),8 m²,"Atag (gas-fired combination boiler from 2013, in ownership)",Double glazing and energy efficient window,Flat roof,Located at the southeast accessible via the rear,Mechanical ventilation,No insulation,"Single-family home, corner house",Auction period,Price,"1,390 m²",1986,2 bathrooms and 2 separate toilets,2 months,205 m²,3 cars,3 m²,793 m³,83 m²,9 m²,Accessible for seniors,"Alarm installation, skylight and swimming pool","Alongside a quiet road, in residential district and freestanding location",Built-in,C What does this mean?,CH boiler and electrical boiler,"CH boiler, gas heater and partial floor heating",Combination roof covered with roof tiles,Double glazing,Double occupancy possible,"Electrical door, loft, electricity and running water","Nefit ecomline excellent (gas-fired combination boiler from 2003, in ownership)","Parking on gated property, parking on private property and public parking",Roof insulation,"Steam cabin, shower and toilet",Under offer,"1,612 m³",11 m²,12 m²,18 m²,1898,2 bathrooms,3 stories and a basement,379 m²,7 rooms (4 bedrooms),970 m²,"Alongside busy road, in center, in residential district and unobstructed surrounding view","Carport, parking place and detached brick garage","Gas-fired combination boiler, in ownership",Listed building (national monument),"€ 1,300,000 kosten koper",13 m²,1966,2 bathrooms and 4 separate toilets,23 m²,249 m²,4 stories,"63 m² (9,55 meter deep and 6,6 meter broad)",840 m³,9 rooms (7 bedrooms),983 m²,"Alongside a quiet road, in center, in residential district and freestanding location",Back garden and front garden,Bath and 2 showers,Detached brick storage,Electricity and running water,Gable roof covered with asphalt roofing,Located at the southwest accessible via the rear,"March 7, 2022",Public parking and parking garage,"Remeha CW5 (gas-fired combination boiler from 2021, in ownership)","Single-family home, row house","Skylight, passive ventilation system, flue, sliding door and TV via cable",Patio/atrium,Front garden,169 m² (13 meter deep and 13 meter broad),195 m²,2021,3 months,430 m²,570 m³,7 rooms (5 bedrooms),Attached brick garage,Available immediately,"Back garden, surrounded by garden, front garden and side garden",Geothermal heating,Heat pump,Located at the northwest,Woningborg garantiecertificaat,180 m²,1952,400 m³,6 cars,6 rooms (4 bedrooms),963 m²,"Alongside a quiet road, alongside water and in residential district",Attached wooden garage,Electrical door and electricity,F What does this mean?,"Intergas (gas-fired combination boiler from 2017, in ownership)",Shower and toilet,"Single-family home, detached residential property",184 m²,26 m²,452 m²,685 m³,"Alongside park, alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",CH boiler and district heating,"Electrical door, loft and electricity",Gable roof,"March 8, 2022",Mechanical ventilation and TV via cable,Deposit,Rental agreement,Rental price,2018,27 m²,3 stories and a loft,4 weeks,479 m²,752 m³,Bath and toilet,Electricity and heating,Mechanical ventilation and solar panels,Sold under reservation,156 m²,2 m²,334 m²,"46 m² (8,7 meter deep and 5,3 meter broad)",5 m²,605 m³,CH boiler and heat recovery unit,Flat roof covered with asphalt roofing,"Gas-fired combination boiler from 2018, in ownership","March 12, 2022",Paid parking and parking on gated property,Triple glazed and completely insulated,182 m²,"182 m² (20 meter deep and 6,31 meter broad)",1955,30 m²,413 m²,730 m³,"Air conditioning, outdoor awning, mechanical ventilation, passive ventilation system, rolldown shutters, flue, TV via cable and solar panels",Attached brick garage and built-in,"Back garden, front garden and sun terrace","CH boiler, fireplace and partial floor heating","Desirable residence/villa, semi-detached residential property",Electrical boiler,"Electrical door, electricity and running water",Gable roof covered with asphalt roofing and roof tiles,"HR gaswand combi ketel (gas-fired combination boiler from 2006, in ownership)","On the edge of a forest, alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view","1,060 m³",2 separate toilets,242 m²,31 m²,600 m²,9 rooms (8 bedrooms),"Balanced ventilation system, TV via cable and solar panels",Combination roof covered with asphalt roofing and roof tiles,"Complete floor heating, heat recovery unit and heat pump",Not available,15 m²,1960,2 stories and a loft,221 m²,41 m²,670 m²,803 m³,CH boiler and partial floor heating,"Nefit (gas-fired combination boiler from 2008, in ownership)","On the edge of a forest, alongside park, alongside a quiet road and In wooded surroundings",Parking place and detached brick garage,"Roof insulation, double glazing and insulated walls",Surrounded by garden and sun terrace,"1,185 m²","1,535 m³",2 stories and a attic,2006,340 m²,6+ months,71 m²,"Air conditioning, alarm installation and mechanical ventilation",CH boiler and gas-fired boiler,Double glazing and completely insulated,"Electrical door, electricity, heating and running water","Excellent Ecoline (2006, in ownership)",Gable roof covered with slate,"Sheltered location, in residential district and unobstructed surrounding view",Side garden,Purchase combination,1 badkamer en 1 apart toilet,2 woonlagen,242 m³,3 kamers (2 slaapkamers),69 m²,"Aan rustige weg, aan water, in centrum en vrij uitzicht",Aangeboden sinds,Begane grond,Bijdrage VvE,Bouwjaar,Cv-ketel,Douche,E Wat betekent dit?,Gebruiksoppervlakten,Gedeeltelijk dubbel glas,"Intergas Kombi Kompakt HRE 28/24 (gas gestookt combiketel uit 2015, eigendom)",Ja,"Ja (€ 119,00 per maand)",Kadastrale kaart,Laatste vraagprijs,Looptijd,Nee,Parkeervergunningen,Soort appartement,Soort bouw,Soort dak,TV kabel,Verkoopdatum,Volle eigendom,Vraagprijs per m²,1969,200 m²,38 m²,5 weeks,575 m²,792 m³,"Alongside park, alongside water and outside the built-up area",Bath,D What does this mean?,"Loft, electricity, heating and running water",First rental price
0,Available in consultation,No,"€ 875,000 kosten koper","€ 4,755",Balcony present,Sauna and toilet,No,Resale property,"Remeha Callenta ( combination boiler from 2018, in ownership)",Not required,7 m²,"Alarm installation, outdoor awning, skylight, sauna and TV via cable",CH boiler,CH boiler,Partly double glazed,7 weeks,184 m²,2nd floor,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,6 rooms (3 bedrooms),2 stories,No,No,No,"Protected townscape or village view (permit needed for alterations), listed building (national monument) and monumental building",Sold under reservation,Upstairs apartment (double upstairs apartment),"Paid parking, public parking and resident's parking permits",858 m³,1886,https://www.funda.nl/en/koop/den-haag/appartement-42689870-antwerpsestraat-14/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Available in consultation,,"€ 766,000 vrij op naam","€ 5,007",,2 toilets,,New property,,Not available,16 m²,Mechanical ventilation,,,Double glazing,2 months,153 m²,,"Alongside park, alongside a quiet road, sheltered location and in residential district",,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),2 stories,,,,,Under option,,,316 m³,After 2020,https://www.funda.nl/en/koop/den-haag/huis-42650578-plesmanweg-587-bnr-23/,"16 m² (0,03 meter deep and 0,06 meter broad)",Back garden,Located at the west,"Single-family home, row house",10 m²,Underground parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Available immediately,Yes,"€ 265,000 kosten koper","€ 3,681",Balcony present,Shower,Yes,Resale property,"Gas-fired combination boiler, in ownership",,4 m²,Electricity,CH boiler,CH boiler,,4 weeks,72 m²,1st floor,,Yes,1 bathroom,4 rooms (3 bedrooms),4 stories,Yes (€ 110.00 per month),Yes,Yes,,Sold under reservation,Residential property with shared street entrance (apartment),Public parking,210 m³,1963,https://www.funda.nl/en/koop/den-haag/appartement-88063424-beresteinlaan-533/?navigateSource=resultlist,,,,,,,4 m²,E What does this mean?,Built-in,€ 110.00 per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Available in consultation,Yes,"€ 225,000 kosten koper","€ 5,488",Balcony present,Shower and toilet,Yes,Resale property,,E What does this mean?,7 m²,TV via cable,Communal central heating,Electrical boiler,Double glazing and energy efficient window,3 weeks,41 m²,4th floor,,Yes,1 bathroom,2 rooms (1 bedroom),1 story,Yes (€ 141.96 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and with carpets and curtains,Under offer,Upstairs apartment (apartment),Parking on gated property,133 m³,1979,https://www.funda.nl/en/koop/den-haag/appartement-88068240-van-kinsbergenstraat-19/?navigateSource=resultlist,,,,,,Parking place,10 m²,,Built-in,€ 141.96 per month,Flat roof covered with asphalt roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Available in consultation,Yes,"€ 250,000 kosten koper","€ 3,571",Balcony present,Shower,Yes,Resale property,,E What does this mean?,7 m²,Electricity,Communal central heating,Central facility,Double glazing,"March 4, 2022",70 m²,7th floor,Alongside a quiet road and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1 story,Yes (€ 278.53 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment with open entrance to street),Parking on private property and public parking,225 m³,1977,https://www.funda.nl/en/koop/den-haag/appartement-42627188-de-brink-228/?navigateSource=resultlist,,,,,,Parking place,17 m²,,Built-in,€ 278.53 per month,Flat roof covered with asphalt roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Available in consultation,No,"€ 449,500 kosten koper","€ 4,013",,Shower,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2018, in ownership)",E What does this mean?,,Skylight and passive ventilation system,CH boiler,CH boiler,Partly double glazed,4 weeks,112 m²,Ground floor,In residential district,No,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2 stories,No,No,No,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,400 m³,1906,https://www.funda.nl/en/koop/den-haag/appartement-42606442-edisonstraat-69/?navigateSource=resultlist,"19 m² (7,3 meter deep and 2,55 meter broad)",Back garden,Located at the northwest accessible via the rear,,,,,,,,Combination roof covered with asphalt roofing and roof tiles,Bouwkundige keuring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Available immediately,Yes,"€ 540,000 kosten koper","€ 4,122",,Shower and toilet,Yes,Resale property,"Remeha Quinta 35c (gas-fired combination boiler from 2007, in ownership)",,,Electrical door,CH boiler,CH boiler,Double glazing,3 months,131 m²,11th floor,"On the edge of a forest, alongside busy road, alongside a quiet road, In wooded surroundings, freestanding location, unobstructed surrounding view and seaview",Yes,2 bathrooms and 1 separate toilet,4 rooms (3 bedrooms),1 story,Yes (€ 267.50 per month),Yes,Yes,With carpets and curtains,Sold under reservation,Apartment with shared street entrance (apartment),"Paid parking, parking on gated property, parking on private property, public parking, parking garage and resident's parking permits",454 m³,1993,https://www.funda.nl/en/koop/den-haag/appartement-88901373-harstenhoekweg-190/?navigateSource=resultlist,,,,,10 m²,Built-in and parking place,21 m²,C What does this mean?,Built-in,€ 267.50 per month,Flat roof covered with asphalt roofing,,1 car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Available in consultation,Yes,"€ 225,000 kosten koper","€ 5,921",,Shower and toilet,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler, in ownership)",B 1.40 What does this mean?,,,CH boiler,CH boiler,Double glazing,"March 2, 2022",38 m²,Ground floor,Alongside a quiet road and in residential district,Yes,1 bathroom,2 rooms (1 bedroom),1 story,Yes (€ 75.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Ground-floor apartment (apartment),Public parking and resident's parking permits,99 m³,1893,https://www.funda.nl/en/koop/den-haag/appartement-42626473-lynckerstraat-5/?navigateSource=resultlist,,,,,,,,,,€ 75.00 per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Available immediately,Yes,"€ 415,000 kosten koper","€ 4,611",Balcony present,Bath and toilet,Yes,Resale property,"Vaillant HR (gas-fired combination boiler from 2015, in ownership)",E What does this mean?,10 m²,Passive ventilation system and TV via cable,CH boiler,CH boiler,Double glazing,5 weeks,90 m²,3rd floor,Alongside a quiet road and in residential district,Yes,1 bathroom,3 rooms (1 bedroom),1 story,Yes (€ 90.00 per month),Yes,No,Protected townscape or village view (permit needed for alterations),Sold under reservation,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",341 m³,1911,https://www.funda.nl/en/koop/den-haag/appartement-42692739-prins-mauritslaan-57-b/?navigateSource=resultlist,,,,,,,1 m²,,,€ 90.00 per month,Combination roof covered with asphalt roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Available immediately,Yes,"€ 250,000 kosten koper","€ 2,907",Balcony present,,Yes,Resale property,,E What does this mean?,6 m²,Elevator,Communal central heating,Gas-fired boiler,Partly double glazed,7 weeks,86 m²,4th floor,In residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1 story,Yes (€ 155.00 per month),Yes,Yes,With carpets and curtains,Available,Galleried apartment (apartment),"Paid parking, public parking and resident's parking permits",315 m³,1969,https://www.funda.nl/en/koop/den-haag/appartement-88044135-uitgeeststraat-59/?navigateSource=resultlist,,,,,,,7 m²,,Built-in,€ 155.00 per month,Flat roof covered with asphalt roofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
