,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,bathrooms,rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Accessibility,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic_contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Sun terrace,Type of garage,Other space inside the building,Garden location,Capacity,Back_garden,Construction period,city,bedroom,toilet,price_contribution
0,Available in consultation,1740000,6374,"Bath, 2 showers and 2 toilets",Resale,F  ,10,Passive ventilation system and TV via cable,Patio/atrium,Gas heaters,Electrical boiler,Roof insulation,"Single-family home, row house",6 ,273,"Alongside busy road, in center and in residential district",2 ,5  ,4,158,Protected townscape or village view (permit needed for alterations),Available,"Paid parking, public parking and resident's parking permits",Gable ,1001,1773,https://www.funda.nl/en/koop/amsterdam/huis-42681504-oudezijds-voorburgwal-153-a,,,,,,,,,,,,,,,,,,,,,,,,,amst,4 ,,
1,Available in consultation,550000,5140,Bath and shower,Resale,,12,Elevator and mechanical ventilation,,CH boiler,CH boiler,,,6+ ,107,In residential district,1  ,4  ,2,,,Sold under reservation,"Paid parking, public parking and parking garage",Flat ,323,1999,https://www.funda.nl/en/koop/amsterdam/appartement-41385605-amstelveenseweg-615-b,Accessible for seniors,Yes,Balcony ,Yes,"Gas-fired combination boiler from 1999, in ownership",8,2 ,Yes,Yes,C ,Yes,Yes,Storage box,Maisonnette (apartment),,,,,,,,,,,amst,3 , 2 ,
2,Available in consultation,800000,6504,,Resale,F  ,4,,,CH boiler,CH boiler,,,0,123,,,5  ,2,,,Available,"Paid parking, public parking and resident's parking permits",,412,1931,https://www.funda.nl/en/koop/amsterdam/appartement-42635780-merwedeplein-15-iii-iv,,Yes,Balcony ,Yes,"2011, in ownership",,3 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 232.00  ,,,,,,,,,,amst,4 ,, 232.00 
4,,545000,6124,Shower,New,A+++  ,22,,Sun terrace,District heating,,Completely insulated,,5 ,89,In center and in residential district,1  ,4  ,5,,,Under option,Parking garage,,267,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42557195-van-suchtelen-van-de-haarestraat-121,,No,,No,,,Grou ,No,No,,No,No,,Ground-floor apartment (apartment),,Woningborg garantiecertificaat, 133  ,"19 m² (2,6 meter deep and 7,2 meter broad)",Underground parking,,,,,,amst,3 , 1 ,
5,Available in consultation,4350000,11417,,New,,110,,Sun terrace,Complete floor heating,,Completely insulated,,4 ,381,Alongside water,1 ,6  ,1,,,Available,Paid parking and parking garage,,1029,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42519947-kaap-blanc-4850-bouwnr-50,,,Balcony ,,,,8 ,,,A ,,,Storage box,Penthouse (apartment),,,,,,,,,,,amst,5 ,,
6,Available in consultation,325000,3963,Shower and toilet,Resale,E  ,5,Electricity,,Communal central heating,Electrical boiler,No insulation,,0,82,"Alongside park, in residential district and unobstructed surrounding view",1  ,3  ,10,,Partly furnished with carpets and curtains,Available,Resident's parking permits,Flat ,265,1962,https://www.funda.nl/en/koop/amsterdam/appartement-42620498-nicolaas-anslijnstraat-142,,Yes,Balcony ,Yes,,6,5 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 370.00  ,,,,,,,,,,amst,2 , 1 , 370.00 
7,Available in consultation,795000,8933,Shower and toilet,Resale,F  ,2,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Roof insulation and partly double glazed,"Single-family home, row house",5 ,89,"Alongside a quiet road, alongside water and in center",1  ,6  ,5,27,Monumental building,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,324,1623,https://www.funda.nl/en/koop/amsterdam/huis-42551338-lauriergracht-56,,,Balcony ,,"Remeha Avanta 24C CW3 (gas-fired from 2006, in ownership)",,,,,,,,,,,,,,,3 ,,,,,amst,2 , 1 ,
8,Available in consultation,550000,6250,"Bath, shower and toilet",Resale,A  ,,Elevator and TV via cable,,CH boiler,CH boiler,Double glazing,,0,88,Alongside park and alongside a quiet road,1 ,3  ,1,,,Available,Paid parking and resident's parking permits,Flat ,295,2002,https://www.funda.nl/en/koop/amsterdam/appartement-42629929-funenpark-176,,Yes,,Yes,Remeha Tzerra (gas-fired from 2014),6,2 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 150  ,,,,,,,,amst,2 ,,
9,Available in consultation,2950000,12343,Bath and 2 toilets,Resale,A  ,138,Electricity,Patio/atrium and sun terrace,Communal central heating,Electrical boiler,"Roof insulation, double glazing, energy efficient window, insulated walls and floor insulation",,6+ ,239,"Alongside a quiet road, on navigable waterway, alongside water, in center and unobstructed surrounding view",2 ,6  ,1,,,Sold under reservation,"Paid parking, parking on private property and parking garage",Flat  covered with asphalt ing,865,2007,https://www.funda.nl/en/koop/amsterdam/appartement-42419852-westerdok-226,,Yes,Balcony ,Yes,,12,10 ,Yes,Yes,,Yes,Yes,Storage box,Penthouse (apartment),,,,"112 m² (16,8 meter deep and 6,68 meter broad)",Underground parking and parking place,, south,,,,amst,3 ,,
10,Available in consultation,3408000,14200,,New,,14,"Smart home, elevator, mechanical ventilation, flue and sliding door",,CH boiler and complete floor heating,CH boiler,Completely insulated,,6+ ,240,"Alongside water, in center, in residential district and unobstructed surrounding view",,4  ,1,,,Available,,,667,2019,https://www.funda.nl/en/koop/amsterdam/appartement-88880646-pieter-de-hoochstraat-11-app11c,,,Balcony ,,"Combination boiler, in ownership",10,3 ,,,,,,Storage box,Mezzanine,,,,,"Built-in, underground parking and parking place",,,1 car,,,amst,3 ,,
11,Available in consultation,625000,5342,Toilet,Resale,,16,"Mechanical ventilation, TV via cable and solar panels",,District heating,District heating,Completely insulated,,3 ,117,"Alongside a quiet road, sheltered location, in residential district and unobstructed surrounding view",1  ,6  ,4,,,Sold under reservation,Parking garage,Gable  covered with asphalt ing,442,2013,https://www.funda.nl/en/koop/amsterdam/appartement-42535300-ben-brilstraat-18,,Yes,Roof terrace ,Yes,,13,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor + upstairs apartment (apartment), 87.02  ,,,,Underground parking and parking place,,,,,,amst,3 , 1 , 87.02 
12,Available in consultation,400000,7273,Shower and toilet,Resale,E   ,5,Mechanical ventilation,,CH boiler,CH boiler,,,6 ,55,,1 ,2  ,1,,,Under offer,,Flat ,173,1936,https://www.funda.nl/en/koop/amsterdam/appartement-88047897-jan-evertsenstraat-151-1,,Yes,Balcony ,Yes,,6,1 ,Yes,Yes ,,Yes,Yes,Storage box,Mezzanine (apartment), 69.83  ,,,,,,,,,,amst,1 ,, 69.83 
14,Available in consultation,625000,6793,Bath and toilet,Resale,A++  ,12,"Elevator, mechanical ventilation, sliding door, TV via cable and solar panels",,Complete floor heating and heat pump,Central facility,Completely insulated,,3 ,92,In residential district,1  ,3  ,1,,,Sold under reservation,Paid parking,,310,2021,https://www.funda.nl/en/koop/amsterdam/appartement-42601754-cruquiusweg-99-b,,No,Balcony  and french balcony ,Yes,,8,3 ,No,Yes,,Yes,No,Storage box,Upstairs apartment (apartment),,, 195  ,,Parking place,,,,,,amst,2 , 1 ,
15,Available in consultation,450000,8824,"Bath, shower and toilet",Resale,D  ,7,TV via cable,,CH boiler,CH boiler,Double glazing,,0,51,Alongside a quiet road and in residential district,1 ,2  ,1,,,Under offer,Paid parking and resident's parking permits,Flat  covered with asphalt ing,142,1901,https://www.funda.nl/en/koop/amsterdam/appartement-42613078-tweede-helmersstraat-50-ii,,Yes,Balcony  and french balcony ,Yes,"Intergas (gas-fired combination boiler from 2005, in ownership)",,3 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 122.00  ,,,,,,,,,,amst,1 ,, 122.00 
16,Available in consultation,750000,4658,Bath and shower,Resale,A  ,36,"Mechanical ventilation, passive ventilation system, TV via cable and solar panels",,District heating and heat recovery unit,District heating,Double glazing,,6 ,161,Alongside water and in residential district,1  ,7  ,4,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",,544,2006,https://www.funda.nl/en/koop/amsterdam/appartement-42696275-martin-cortesstraat-11-c,,Yes,Roof terrace  and balcony ,Yes,,,1 ,No,Yes,,Yes,No,,Upstairs apartment (double upstairs apartment),,,,,,,,,,,amst,5 , 2 ,
17,Available in consultation,350000,6863,Toilet,Resale,D   ,,,Back garden and front garden,CH boiler,CH boiler,Double glazing,,0,51,In residential district,1 ,2  ,1,,,Available,"Paid parking, public parking and resident's parking permits",,194,1924,https://www.funda.nl/en/koop/amsterdam/appartement-42629337-tuinbouwstraat-108,,Yes,,Yes,"Intergas (gas-fired from 2011, in ownership)",5,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (apartment), 167.00  ,,,,,,,,,,amst,1 ,, 167.00 
18,Available in consultation,1595000,8395,"Bath, shower and 2 toilets",Resale,,,"Alarm installation, smart home, elevator and mechanical ventilation",,CH boiler and gas heater,CH boiler,"Insulated walls, floor insulation and secondary glazing",,4 ,190,In center,2  ,3  ,1,,Listed building (national monument) and monumental building,Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,716,1913,https://www.funda.nl/en/koop/amsterdam/appartement-42516161-nieuwezijds-voorburgwal-56-d,,Yes,,Yes,"Combiketel (gas-fired combination boiler from 2017, in ownership)",,3 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 321.00  ,,,,,1 ,,,,,amst,2 , 1 , 321.00 
19,Available in consultation,219000,7300,,Resale,,2,,,Gas heaters,Gas water heater,No insulation,,0,30,Alongside water and sheltered location,,1  ,1,,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,100,1958,https://www.funda.nl/en/koop/amsterdam/appartement-42637233-harry-koningsbergerstraat-138,,Yes,,Yes,,2,1 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment, 155.00  ,,,,,,,,,,amst,1 ,, 155.00 
21,Available immediately,350000,7609,Shower and toilet,Resale,A   ,,Passive ventilation system and TV via cable,Back garden,CH boiler,CH boiler,No insulation,,2 ,46,Alongside a quiet road and in residential district,1 ,2  ,1,,,Under offer,Paid parking and resident's parking permits,Gable  covered with  tiles,112,1919,https://www.funda.nl/en/koop/amsterdam/appartement-42618388-putterstraat-1,,Yes,,Yes,"Intergas (gas-fired combination boiler from 2020, in ownership)",6,Grou ,Yes,Yes ,,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 67.36  ,Energie Prestatie Advies,,,,, northwest,,308.636  ,,amst,1 ,, 67.36 
22,Available in consultation,1700000,8500,"Bath, 3 showers and 2 toilets",Resale,,27,,,CH boiler,CH boiler,Double glazing,,0,200,Alongside a quiet road and in center,3  ,5  ,4,,,Available,Paid parking and public parking,Combination ,682,1993,https://www.funda.nl/en/koop/amsterdam/appartement-42639858-spuistraat-240-a,,No,Roof terrace  and balcony ,No,"Gas-fired combination boiler, in ownership",,1 ,No,No,G ,Yes,No,,Upstairs apartment (apartment),,,,,,,,,,,amst,4 , 1 ,
23,Available in consultation,385000,8953,Shower and toilet,Resale,A  ,8,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,2 ,43,Alongside a quiet road and in residential district,1 ,2  ,1,,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Available,Paid parking and resident's parking permits,,143,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42619041-sportstraat-21-i,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2014, in ownership)",10,,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 91.08  ,,,,,1 ,,,,,amst,1 ,, 91.08 
24,Available in consultation,535000,9224,Toilet,Resale,C  ,6,Optical fibre,Back garden,CH boiler,CH boiler,Triple glazed,,0,58,Alongside a quiet road and in residential district,1 ,2  ,1,,,Available,Paid parking and resident's parking permits,Gable  covered with  tiles,201,1929,https://www.funda.nl/en/koop/amsterdam/appartement-42625082-woubruggestraat-6-h,,Yes,,Yes,"2015, in ownership",6,Grou ,No,Yes ,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 70.00  ,,,,,, west,,52  ,,amst,1 ,, 70.00 
25,Available immediately,325000,5508,Shower and toilet,Resale,A   ,6,Electricity,,CH boiler,CH boiler,Double glazing,,5 ,59,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 ,2  ,1,,,Under offer,Public parking and resident's parking permits,Flat  covered with asphalt ing,153,1985,https://www.funda.nl/en/koop/amsterdam/appartement-42692788-louis-davidsstraat-29,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2010, in ownership)",4,2 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 105.35  ,Energie Prestatie Advies,,,,,,,,,amst,1 ,, 105.35 
